Тип,Категория,Товаров,Медиана_цены_руб,Медиана_плотности,Приоритет
main,сумка,775,511.3434958333333,182.6651111890474,1
main,кружка,495,791.2747499999999,193.452380952381,2
main,бутылка,398,728.3053743055556,185.6454480425225,3
main,набор,309,1331.210657407407,225.3184300187278,4
main,ручка,260,110.1201014384921,376.7660910518054,5
main,лампа,254,1368.867625,154.3577394970584,6
main,игрушка,253,440.3352273125342,165.0871411741524,7
main,кабель,223,465.25,258.5858585858585,8
main,брелок,211,162.7697111111111,291.6666666666667,9
main,подставка,180,490.6518981481481,252.0970672545977,10
main,чехол,155,625.6756062500001,215.5172413793103,11
main,очки,127,309.4320833333333,174.6203716713306,12
main,аккумулятор,113,1786.812662473794,424.2848813688394,13
main,ластик,99,219.105,168.1031848,14
main,косметичка,95,612.2400462962962,170.1388888888889,15
main,флешка,90,824.5158333333333,317.9505813953488,16
sub,лампа_ночная,87,1422.190275782248,136.2808865498199,17
main,футболка,86,1219.733263888889,198.5965841387529,18
main,плед,85,1842.1954375,147.9712086854944,19
main,увлажнитель,83,1272.570420138889,151.8595966912831,20
sub,сумка_хозяйственная,81,413.7878857142856,207.6247532093561,21
main,зонт,76,1203.47,390.625,22
main,браслет,75,112.5924466210614,293.287037037037,23
main,подушка,71,1327.025,123.4567901234568,24
sub,кружка_термо,69,927.3372499999999,196.5799664522087,25
main,зарядное,65,1919.367937555558,270.4164413196322,26
main,коробка,65,393.01,159.5932651642101,27
main,коврик,63,1485.28,217.3913043478261,28
main,органайзер,56,1094.773736111111,166.6666666666667,29
main,бейдж,54,126.6050694444445,419.4678107721586,30
main,пенал,50,412.5677229166666,168.9731663685152,31
main,антистресс,50,175.9645326388889,259.1009198082653,32
main,наушники,49,1322.508948888889,178.1788730764781,33
main,блокнот,49,588.7203888888889,413.7087688895871,34
main,коффер,49,997.0412638888889,184.5069444444445,35
main,массажер,46,1400.180555555556,246.8729427254774,36
main,термос,46,1079.817288888889,217.732497482468,37
main,кепка,45,549.4352777777777,143.1888544891641,38
main,картхолдер,44,293.1024737847222,339.2391471084522,39
main,шарф,44,1146.54162962963,169.7712418388889,40
main,контейнер,43,629.4850804398147,180.8090152215962,41
main,станция,42,2079.282146715168,182.2695211370879,42
main,перчатки,40,541.3485893518518,135.4166666666667,43
main,дождевик,39,978.5467592592593,223.4512038433607,44
main,фонарь,38,593.2990902777777,284.9139647,45
main,свеча,37,695.9525729986876,451.8319732734542,46
main,маска_медицинская,37,420.1620833333333,133.3333333,47
main,магнит,35,224.09,444.4444444444445,48
main,толстовка,35,2574.487608024691,426.1363636363636,49
main,конструктор,34,809.573061728395,142.28298875038,50
main,таблетница,34,229.4681840277812,248.1361231361231,51
main,ваза,34,1558.49,187.4825481670589,52
main,стикеры,32,99.65131944444444,289.3518518518518,53
main,календарь,32,920.3734438657407,390.625,54
main,карабин,30,78.015,480.34188035,55
main,папка,30,519.2510694444444,213.1782945736434,56
main,детские_товары,29,487.4467060185184,195.4495614035088,57
main,головоломка,27,445.108375,352.0625927739308,58
main,мышь,26,1429.860909722222,236.0203340595497,59
main,зеркало,25,159.9915138888889,380.0547279,60
main,вентилятор,25,572.0797736111111,187.3370294,61
main,лента,24,148.405380952381,312.4999999999999,62
main,принтер,24,5348.870603587962,311.9266764692247,63
main,доска,24,765.4275090277777,256.7368032484312,64
main,чайник,24,2628.397432659933,231.5892901007124,65
main,нож,22,283.9144395833333,509.2946269416857,66
main,шкатулка,22,1215.17046875,1333.333333333333,67
main,штамп,21,682.9634305555555,357.4696865705789,68
main,пазл,21,344.9752724867725,367.4309229864785,69
main,ложка,21,149.4180491666666,365.3846153846154,70
main,градусник,20,352.984698125,312.6832128200118,71
main,снежный_шар,20,679.8095763888889,360.2117865198844,72
main,маркер,20,84.1878723611111,298.3502983502983,73
