ID,Название,Ошибок_x10,Всего,Процент,URL
197,[Просчет-РФ] Виктория Ципилева / подарки для пользователей Платинум в Тбанке 15-07-2025,18,36,50.0%,https://docs.google.com/spreadsheets/d/1ch8w3sTkHZJKyBDQuMj_2cNtOzjnkMLfk0IrIAWqzoI
155,"[Просчет] ООО ""ХЭДКОРН"" / Держатель Яндекс 24-07-2025",18,34,52.9%,https://docs.google.com/spreadsheets/d/1qFaJHqXdQsjPyrp-s9RCGapWV-uodSPJr_7NhYNkxu4
204,"[Просчет] Елизавета Постных Иллан / Расчет (Универсальная позиция)_Шары, адвент_1000_Билайн_КГИ_ММ 14-07-2025",16,16,100.0%,https://docs.google.com/spreadsheets/d/1GE4icDx_vW0QMP1kFprkoOccKxBxsgMvlCft7j-FSIw
164,[Просчет] Ольга Стародубцева Иллан / тапочки/антистресс/плед-пончо/очки_100-300_ОТП Банк_КГИ_ММ 22-07-2025,15,23,65.2%,https://docs.google.com/spreadsheets/d/1xR59uoEzwexLor3GiM83f2SWw5ltOWorhEG1MCLd40M
304,"[Просчет] ООО ""КГИ"" / Бутылки и Пеналы 12-08-2025",12,20,60.0%,https://docs.google.com/spreadsheets/d/1zE-6RzipAWtxL1j2BUB510QN9krjTH0GMmo_a7P3UFY
83,[Просчет-РФ] Сладкая жизнь. Мерч,10,39,25.6%,https://docs.google.com/spreadsheets/d/1rRYCoaW7EfREGvNkDMBmeE5VDcA739OAsp75VGJUS3U
120,[Просчет] Авито / Авито 01-08-2025,10,10,100.0%,https://docs.google.com/spreadsheets/d/1ur8iQeViyga7ELa_QHnDOS5Zz2ShKH17k-_Wrjgecm0
281,[Просчет-РФ] Екатерина Кожаева Иллан / Палитра ПСБ иллан - от 300 шт до 10 000 шт + 22-08-2025,10,40,25.0%,https://docs.google.com/spreadsheets/d/1go5bLGB8IvvqvZ9l91lhScgVqA3KGGee8PNwU6wSg8s
154,"[Просчет] ООО ""ХЭДКОРН"" / Шнурок + чехол для телефона универсальный 24-07-2025",8,8,100.0%,https://docs.google.com/spreadsheets/d/1MErBaidTzZPbbNCXH9epjVJ2Uh36AbkPrRVv4nIhf3I
145,[Просчет-РФ] Анастасия / 16-07-2025,8,16,50.0%,https://docs.google.com/spreadsheets/d/1GqHEyYdCNPEBmn_j2t_jCeboVwTOtbH-opVLf00rW8I
178,[Просчет] Яна Ощепкова / ММ_Газпромнефть Битум_НГ 2026 21-07-2025,8,10,80.0%,https://docs.google.com/spreadsheets/d/1-YnrB9tmF-C3xMLbOhy0nG9rzaofM0CqgYmwjhBT1Wo
159,"[Просчет] Ольга Стародубцева Иллан / чемодан, зарядка, светильники_20/50_СберМобайл_КГИ_ММ 23-07-2025",6,12,50.0%,https://docs.google.com/spreadsheets/d/1oYSkJMGYMoj4VG2QK5nhRNkIVFTX1U1M0Gb6_R0pKC4
128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",6,31,19.4%,https://docs.google.com/spreadsheets/d/1g3OqMatuW0eGP_sOr202l29yBGX36Vp9DukcJpbexcs
138,"[Просчет-РФ] Яна Иллан Фарфорит ОТП/ Креманки, ложки",6,18,33.3%,https://docs.google.com/spreadsheets/d/1LTXI7maR9jOxTXBMFVVDU4woORSM9EwZhFGz5tUZd1k
149,[Просчет-РФ] Ланярд+ бэйдж,4,4,100.0%,https://docs.google.com/spreadsheets/d/1Dekn4u3iAfAGTWGI9QPFSW4p5qbV585TEEv1oNHQvug
117,[Просчет-РФ] Ekaterina Sergeeva / 03-08-2025,4,15,26.7%,https://docs.google.com/spreadsheets/d/1vDZKVaGrJRklSV96etwEjI1vZwJ5DdXJr4dvjMSJtsQ
271,[Просчет] Екатерина Кожаева / Расчет_палитра ПСБ_тиражи от 9 шт до 10000 шт_ПСБ_КГИ 25-08-2025,4,23,17.4%,https://docs.google.com/spreadsheets/d/1GOEdLTlzobfJ7MvWjDqHHG82ItFvgeTImF5i-1c3ISg
334,[Просчет-РФ] Лига Цифровой Экономики/Подарки для МВД,4,4,100.0%,https://docs.google.com/spreadsheets/d/10RO9HW5vKd8ukaye4dr1G3Q8tDmehco94_5cCjPXYu8
122,"[Просчет] Полина Вальницкая / Расчет_ежедневники с голографической обложкой 100, 500, 1000шт_Совкомбанк_КГИ_ММ 29-07-2025",4,8,50.0%,https://docs.google.com/spreadsheets/d/1GQc5DFWvJMVjMefgfvYwwiNctOzby_216wnFu0eGT1A
132,[Просчет] Ольга Стародубцева Иллан / Рюкзак_МТС Бизнес_КГИ_ММ 28-07-2025,4,4,100.0%,https://docs.google.com/spreadsheets/d/1NuGGoAMub1GLzJRIvekIgKYHmHV0mm0Whr7Vd5FzQ3E
169,[Просчет] ООО Кастомлаб / Мягкие игрушки АльфаБанк 22-07-2025,4,16,25.0%,https://docs.google.com/spreadsheets/d/15JStZdI4pfDOqhAWHJebJV3toE7EMHsypzflqb4hob0
153,[Просчет] Екатерина Елагина / востокцемент 800 шт 24-07-2025,4,4,100.0%,https://docs.google.com/spreadsheets/d/1CrNNVnXSTdrtXdsddU61poLlaSTHWRaa1og536vUQYA
162,[Просчет] Екатерина Елагина / елочные игрушки ромб 22-07-2025,2,4,50.0%,https://docs.google.com/spreadsheets/d/1yAaSS14phTP1AmTGef3v5L2sTjuK-x7tAeA7bsK-P3A
161,[Просчет] Михалева Екатерина / Ежедневник Olimbet 23-07-2025,2,4,50.0%,https://docs.google.com/spreadsheets/d/1MX64VGTogTrsz_W1uc2YAm7bKAtOr4mDq-0THPIUHeY
85,[Просчет-РФ] Лампы,2,2,100.0%,https://docs.google.com/spreadsheets/d/1D9Wk9TV-nc-Cq7Eic83-6MQ4G13xy4MUCLhdOCVKzAw
330,[Просчет-РФ] Ложечки с изменением цвета от холода_сток_810 шт,2,2,100.0%,https://docs.google.com/spreadsheets/d/1s4D33TEj6gwOS3U05QaC1pC653SmAmxEclSjlSemX8Y
65,[Просчет] МТС / Лампа 1000 шт 15-08-2025,2,6,33.3%,https://docs.google.com/spreadsheets/d/1L8-U_DyRV1HEZ3aKGhU8Jg2sZpQLsWjEYPOcVrR0kCA
98,"[Просчет] ООО ""ПИКЬЮ ГРУПП"" / Сквиш антистресс в виде домика 06-08-2025",2,8,25.0%,https://docs.google.com/spreadsheets/d/1KK-RQTYnW2dQzMv6QbuUVfVARhqgL4Bu-lFC848kMQI
144,[Просчет-РФ] Лаура Иллан /Ремувка,2,2,100.0%,https://docs.google.com/spreadsheets/d/1J2YJ5PQnJLgfrZP_G41a8fIyo9iNfBuWsdXMfLJItzk
152,"[Просчет-РФ] Запрос на ланьряды, сумки и шнурки.000006044 к НГ",2,28,7.1%,https://docs.google.com/spreadsheets/d/1VW8ynZ9Ee63DuB4UMYXCWIOTPgk7-pa4EQ7TbUxeCU8
146,[Просчет] Екатерина Елагина / фарфор 500 и 100 24-07-2025,2,18,11.1%,https://docs.google.com/spreadsheets/d/1PPGk2HUmpDWAq01vlCcTC-AN5EKIBrXduLLWTKzkr9Y
111,[Просчет-РФ] Заявка на расчет изготовления упаковки,1,3,33.3%,https://docs.google.com/spreadsheets/d/1c7pie7oBaJn_kr0v6SKfN7hb7cis5q9bQ9baYNxyIvM
127,"[Просчет] ООО ""КГИ"" / Пуллеры серые 29-07-2025",1,5,20.0%,https://docs.google.com/spreadsheets/d/1RCbt6Th-rMAZodVR4tTrTyJlb2ODlLX1VxiBTGUC58M
